epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.4516,1.38725,3.41267,1.22339,1,0.23949,0.24851,0.19863,0.73856,10.1601,0.65698,0.0002125,0.0002125,0.0002125
2,155.152,1.02275,1.53365,1.01624,1,0.24681,0.39015,0.31682,0.7202,9.37059,0.64066,0.000436056,0.000436056,0.000436056
3,229.766,0.90738,1.06419,0.93541,0.95903,0.25,0.81178,0.56878,0.65034,8.5053,0.63191,0.000658128,0.000658128,0.000658128
4,305.934,0.8822,0.97943,0.92913,0.98536,0.29287,0.90078,0.64076,0.57661,7.98483,0.60503,0.000878714,0.000878714,0.000878714
5,378.571,0.81602,0.86736,0.91184,0.91276,0.55378,0.90754,0.67004,0.56267,7.73033,0.60091,0.00109782,0.00109782,0.00109782
6,451.045,0.83356,0.85067,0.89773,0.91182,0.86132,0.9315,0.70472,0.51956,6.94745,0.59715,0.00122937,0.00122937,0.00122937
7,523.446,0.8042,0.81248,0.90656,0.88077,0.85275,0.92376,0.67622,0.54978,7.10738,0.60476,0.00122525,0.00122525,0.00122525
8,596.138,0.78967,0.73261,0.90639,0.90615,0.93793,0.92792,0.72166,0.51301,6.48286,0.59686,0.00122112,0.00122112,0.00122112
9,668.535,0.75607,0.71594,0.89941,0.91015,0.96196,0.93845,0.71886,0.51034,5.50534,0.59198,0.001217,0.001217,0.001217
10,741.158,0.75572,0.69012,0.88848,0.92297,0.9558,0.92787,0.70768,0.50898,5.29914,0.58967,0.00121287,0.00121287,0.00121287
11,813.709,0.78939,0.70131,0.90234,0.92335,0.95447,0.93957,0.71263,0.4931,4.62908,0.58429,0.00120875,0.00120875,0.00120875
12,886.333,0.74358,0.66497,0.89122,0.93096,0.95654,0.94409,0.7275,0.49161,4.56791,0.58655,0.00120462,0.00120462,0.00120462
13,959.029,0.73899,0.64163,0.89328,0.92605,0.96043,0.94364,0.74966,0.4768,3.92052,0.58537,0.0012005,0.0012005,0.0012005
14,1031.39,0.71073,0.60799,0.87589,0.93188,0.95859,0.93967,0.73216,0.46339,3.788,0.58083,0.00119637,0.00119637,0.00119637
15,1103.76,0.72033,0.62149,0.89802,0.93279,0.95719,0.95105,0.72849,0.47371,3.7673,0.57829,0.00119225,0.00119225,0.00119225
16,1176.35,0.67773,0.59478,0.87321,0.9407,0.94778,0.94835,0.74511,0.46755,3.71209,0.57929,0.00118812,0.00118812,0.00118812
17,1248.78,0.67469,0.57052,0.87922,0.93814,0.96043,0.94776,0.7501,0.45905,3.37768,0.57709,0.001184,0.001184,0.001184
18,1321.07,0.67509,0.56061,0.8758,0.93572,0.96043,0.9595,0.73876,0.47031,3.05811,0.57783,0.00117988,0.00117988,0.00117988
19,1393.64,0.66823,0.52584,0.87516,0.93789,0.96073,0.95317,0.74209,0.4536,2.95441,0.57672,0.00117575,0.00117575,0.00117575
20,1466.13,0.67917,0.52219,0.87042,0.93328,0.96396,0.95535,0.75088,0.47465,2.69793,0.57802,0.00117163,0.00117163,0.00117163
21,1538.5,0.68492,0.53978,0.88874,0.92098,0.94859,0.95161,0.76946,0.43225,2.70803,0.57278,0.0011675,0.0011675,0.0011675
22,1611.02,0.66195,0.50878,0.8596,0.94909,0.95091,0.95427,0.76298,0.41829,2.34693,0.57231,0.00116337,0.00116337,0.00116337
23,1683.3,0.6392,0.50277,0.86072,0.93363,0.95377,0.94374,0.75719,0.43759,2.10455,0.57278,0.00115925,0.00115925,0.00115925
24,1755.94,0.68439,0.51856,0.87286,0.94243,0.94627,0.9528,0.7648,0.46031,2.32863,0.57683,0.00115513,0.00115513,0.00115513
25,1828.35,0.65094,0.49302,0.86337,0.95016,0.94978,0.96034,0.76494,0.44329,2.25743,0.57521,0.001151,0.001151,0.001151
26,1900.92,0.61522,0.46938,0.86163,0.94059,0.9512,0.94876,0.76511,0.42357,2.00385,0.57463,0.00114688,0.00114688,0.00114688
27,1973.3,0.61693,0.46557,0.86925,0.94104,0.95409,0.95295,0.77925,0.40655,1.90234,0.57013,0.00114275,0.00114275,0.00114275
28,2046.01,0.62588,0.4688,0.85929,0.9401,0.95147,0.95657,0.77742,0.41331,1.68555,0.56779,0.00113863,0.00113863,0.00113863
29,2118.23,0.62553,0.47113,0.86178,0.93543,0.94532,0.95264,0.77976,0.43564,1.6331,0.57206,0.0011345,0.0011345,0.0011345
30,2190.64,0.62407,0.45443,0.86268,0.93464,0.9542,0.95111,0.76095,0.42104,1.59567,0.57196,0.00113038,0.00113038,0.00113038
31,2263.04,0.6151,0.44591,0.85134,0.94423,0.95571,0.95484,0.76524,0.42886,1.56369,0.5762,0.00112625,0.00112625,0.00112625
32,2335.37,0.62297,0.4505,0.85251,0.95003,0.94655,0.94978,0.77456,0.43076,1.3767,0.57285,0.00112213,0.00112213,0.00112213
33,2407.83,0.61415,0.44702,0.85839,0.94783,0.95221,0.95734,0.76926,0.42176,1.40587,0.56811,0.001118,0.001118,0.001118
34,2480.2,0.59203,0.42353,0.84812,0.92914,0.95563,0.94742,0.78607,0.41338,1.82313,0.56742,0.00111388,0.00111388,0.00111388
35,2552.62,0.61857,0.44391,0.86248,0.94653,0.95769,0.95386,0.77176,0.4189,2.00142,0.56958,0.00110975,0.00110975,0.00110975
36,2625.02,0.60422,0.42673,0.86185,0.95396,0.95506,0.95935,0.78487,0.40579,1.33246,0.56758,0.00110563,0.00110563,0.00110563
37,2697.1,0.60369,0.42237,0.86094,0.96022,0.95507,0.95917,0.78499,0.434,1.11601,0.57183,0.0011015,0.0011015,0.0011015
38,2769.28,0.5986,0.42454,0.85783,0.95428,0.96043,0.96005,0.79652,0.4102,1.05514,0.56753,0.00109738,0.00109738,0.00109738
39,2841.31,0.60614,0.42378,0.86253,0.94361,0.95571,0.95084,0.77691,0.43146,1.14848,0.57075,0.00109325,0.00109325,0.00109325
40,2913.59,0.58913,0.4156,0.8483,0.95176,0.96043,0.95774,0.77562,0.41124,1.24572,0.56877,0.00108913,0.00108913,0.00108913
41,2985.95,0.61666,0.43913,0.87135,0.95636,0.95715,0.95124,0.76628,0.41084,1.22503,0.56678,0.001085,0.001085,0.001085
42,3057.92,0.61166,0.4165,0.85845,0.94933,0.9316,0.94981,0.77888,0.42031,1.01958,0.56949,0.00108088,0.00108088,0.00108088
43,3129.96,0.6001,0.41339,0.8517,0.95084,0.93389,0.95075,0.78392,0.42677,0.82328,0.56945,0.00107675,0.00107675,0.00107675
44,3205.68,0.58493,0.4007,0.85529,0.95504,0.95571,0.94956,0.79142,0.41395,0.85504,0.56782,0.00107263,0.00107263,0.00107263
45,3279.2,0.59453,0.41831,0.85628,0.92926,0.95903,0.95697,0.79107,0.40636,0.90782,0.56604,0.0010685,0.0010685,0.0010685
46,3351.29,0.59395,0.40866,0.85789,0.93395,0.95888,0.96138,0.78782,0.41185,0.94611,0.56958,0.00106437,0.00106437,0.00106437
47,3423.35,0.57705,0.4011,0.85874,0.93251,0.95305,0.95286,0.78805,0.40435,0.85334,0.56562,0.00106025,0.00106025,0.00106025
48,3495.65,0.584,0.41175,0.85388,0.95474,0.95571,0.95938,0.79177,0.40463,0.76975,0.56412,0.00105612,0.00105612,0.00105612
49,3567.67,0.60247,0.4048,0.86265,0.96109,0.95099,0.95673,0.7968,0.3928,0.76507,0.56399,0.001052,0.001052,0.001052
50,3639.78,0.58605,0.39958,0.84497,0.95882,0.95358,0.95225,0.7795,0.41198,0.7776,0.57004,0.00104787,0.00104787,0.00104787
51,3712.08,0.56099,0.38831,0.84567,0.95659,0.95002,0.95108,0.80482,0.39241,0.80108,0.56583,0.00104375,0.00104375,0.00104375
52,3784.11,0.56114,0.38295,0.85608,0.94884,0.94398,0.95571,0.80143,0.38747,0.8257,0.56693,0.00103962,0.00103962,0.00103962
53,3856.78,0.58423,0.39538,0.85227,0.94641,0.95555,0.95559,0.80183,0.38287,0.84352,0.56296,0.0010355,0.0010355,0.0010355
54,3928.89,0.57516,0.38907,0.85482,0.96031,0.95757,0.96001,0.79018,0.40001,0.77758,0.56453,0.00103138,0.00103138,0.00103138
55,4000.84,0.56876,0.39213,0.85407,0.95951,0.96209,0.96343,0.78946,0.40165,0.72662,0.56506,0.00102725,0.00102725,0.00102725
56,4073.04,0.58039,0.38904,0.85403,0.96112,0.95134,0.96058,0.78759,0.40422,0.62373,0.56346,0.00102312,0.00102312,0.00102312
57,4145.25,0.59194,0.4013,0.85849,0.95408,0.9575,0.95765,0.79907,0.39744,0.61354,0.56138,0.001019,0.001019,0.001019
58,4217.6,0.56002,0.37637,0.84803,0.95591,0.94767,0.96654,0.80702,0.3943,0.6904,0.56235,0.00101488,0.00101488,0.00101488
59,4289.66,0.56077,0.37819,0.85099,0.95482,0.95919,0.95869,0.79767,0.39086,0.73927,0.56606,0.00101075,0.00101075,0.00101075
60,4361.73,0.57384,0.38212,0.85309,0.94477,0.95147,0.94753,0.79796,0.38615,0.77094,0.56291,0.00100663,0.00100663,0.00100663
61,4439.7,0.56288,0.37427,0.84634,0.94405,0.94627,0.95235,0.80714,0.39895,0.71351,0.56586,0.0010025,0.0010025,0.0010025
62,4515.4,0.53641,0.36371,0.84191,0.93065,0.95939,0.957,0.79404,0.39838,0.69404,0.56857,0.000998375,0.000998375,0.000998375
63,4587.63,0.56364,0.38122,0.86312,0.95231,0.94453,0.95373,0.7963,0.38779,0.67148,0.56512,0.00099425,0.00099425,0.00099425
64,4659.83,0.55471,0.36923,0.85118,0.95651,0.95582,0.96304,0.79493,0.40267,0.58875,0.56301,0.000990125,0.000990125,0.000990125
65,4731.98,0.53743,0.34985,0.84008,0.95012,0.95747,0.95406,0.79805,0.38102,0.5247,0.55794,0.000986,0.000986,0.000986
66,4804.51,0.52229,0.34284,0.83433,0.94815,0.95106,0.95564,0.81076,0.36723,0.4983,0.55671,0.000981875,0.000981875,0.000981875
67,4876.66,0.55313,0.3673,0.85075,0.94794,0.9557,0.95847,0.80697,0.38019,0.48218,0.55875,0.00097775,0.00097775,0.00097775
68,4948.66,0.51868,0.35845,0.85229,0.95999,0.95169,0.95843,0.8126,0.37228,0.51105,0.55822,0.000973625,0.000973625,0.000973625
69,5020.65,0.53176,0.35974,0.84526,0.95894,0.95675,0.96071,0.80084,0.39943,0.56197,0.562,0.0009695,0.0009695,0.0009695
70,5092.68,0.53568,0.34992,0.84349,0.95055,0.94891,0.95601,0.81067,0.3734,0.49127,0.55861,0.000965375,0.000965375,0.000965375
71,5164.64,0.55377,0.3636,0.84726,0.94861,0.95013,0.95396,0.80217,0.38575,0.48875,0.56155,0.00096125,0.00096125,0.00096125
72,5236.76,0.58253,0.37522,0.85946,0.95034,0.95147,0.95892,0.81613,0.38171,0.49932,0.56254,0.000957125,0.000957125,0.000957125
73,5308.67,0.54649,0.35821,0.84639,0.95098,0.9504,0.9586,0.81688,0.37088,0.4941,0.55876,0.000953,0.000953,0.000953
74,5380.83,0.55217,0.36112,0.85771,0.95679,0.95541,0.9571,0.79504,0.38508,0.53002,0.55781,0.000948875,0.000948875,0.000948875
75,5453,0.5448,0.35974,0.84792,0.95406,0.94857,0.95301,0.79815,0.38192,0.55898,0.55877,0.00094475,0.00094475,0.00094475
76,5525.08,0.5535,0.36983,0.85457,0.9551,0.95053,0.95386,0.80029,0.38444,0.55745,0.55778,0.000940625,0.000940625,0.000940625
77,5597,0.53819,0.35971,0.83563,0.95178,0.94627,0.95353,0.79859,0.39024,0.53525,0.55991,0.0009365,0.0009365,0.0009365
78,5669.21,0.54045,0.35685,0.84883,0.95777,0.95408,0.95454,0.80972,0.37817,0.49479,0.55903,0.000932375,0.000932375,0.000932375
79,5741.28,0.53006,0.34928,0.8406,0.95775,0.95389,0.95466,0.80405,0.37292,0.45255,0.55822,0.00092825,0.00092825,0.00092825
80,5813.27,0.53208,0.34855,0.83847,0.93242,0.95619,0.95152,0.80292,0.3821,0.48454,0.56162,0.000924125,0.000924125,0.000924125
81,5885.44,0.54654,0.35433,0.84298,0.94169,0.95222,0.95275,0.80494,0.37367,0.49603,0.56048,0.00092,0.00092,0.00092
82,5957.63,0.52634,0.34611,0.83673,0.95489,0.95546,0.95593,0.81189,0.37495,0.48519,0.55885,0.000915875,0.000915875,0.000915875
83,6029.75,0.52996,0.35472,0.8445,0.95213,0.95246,0.95637,0.81555,0.3677,0.49895,0.55845,0.00091175,0.00091175,0.00091175
84,6101.65,0.4825,0.32329,0.83143,0.95326,0.95545,0.96323,0.81773,0.3689,0.47358,0.55937,0.000907625,0.000907625,0.000907625
85,6173.71,0.5173,0.35148,0.84158,0.95089,0.95571,0.96438,0.81445,0.39069,0.45525,0.55891,0.0009035,0.0009035,0.0009035
86,6245.97,0.50579,0.33973,0.84197,0.95466,0.95818,0.95982,0.80203,0.38198,0.44785,0.55524,0.000899375,0.000899375,0.000899375
87,6317.85,0.5229,0.34662,0.84786,0.95358,0.95935,0.96045,0.81111,0.38043,0.45729,0.55625,0.00089525,0.00089525,0.00089525
88,6389.76,0.51687,0.3326,0.83638,0.95793,0.95322,0.95267,0.81217,0.37407,0.42251,0.55856,0.000891125,0.000891125,0.000891125
89,6461.92,0.51112,0.3418,0.83691,0.94713,0.95856,0.95426,0.81659,0.37163,0.44005,0.55777,0.000887,0.000887,0.000887
90,6534.01,0.5308,0.34918,0.8441,0.9471,0.96418,0.95517,0.81803,0.36389,0.41035,0.55667,0.000882875,0.000882875,0.000882875
91,6606.48,0.51113,0.33649,0.83996,0.96118,0.95147,0.95578,0.80874,0.37911,0.39475,0.55992,0.00087875,0.00087875,0.00087875
